occu,ratepriv,ratecaid,varpriv65,varpriv66,varpriv67,varpriv68,varpriv69,varpriv70,varpriv71,varpriv72,varpriv73,varpriv74,varpriv75,varpriv76,varpriv77,varpriv78,varpriv79,varpriv80,varpriv81,varpriv82,varpriv83,varpriv84,varpriv85,varpriv86,varpriv87,varpriv88,varpriv89,varpriv90,varpriv91,varpriv92,varpriv93,varpriv94,varpriv95,varpriv96,varpriv97,varpriv98,varpriv99,varcaid65,varcaid66,varcaid67,varcaid68,varcaid69,varcaid70,varcaid71,varcaid72,varcaid73,varcaid74,varcaid75,varcaid76,varcaid77,varcaid78,varcaid79,varcaid80,varcaid81,varcaid82,varcaid83,varcaid84,varcaid85,varcaid86,varcaid87,varcaid88,varcaid89,varcaid90,varcaid91,varcaid92,varcaid93,varcaid94,varcaid95,varcaid96,varcaid97,varcaid98,varcaid99,covar65,covar66,covar67,covar68,covar69,covar70,covar71,covar72,covar73,covar74,covar75,covar76,covar77,covar78,covar79,covar80,covar81,covar82,covar83,covar84,covar85,covar86,covar87,covar88,covar89,covar90,covar91,covar92,covar93,covar94,covar95,covar96,covar97,covar98,covar99
.64999998,.026703836,.019000132,3.5888709e-06,1.5961771e-06,1.6513419e-06,1.4402598e-06,1.4958979e-06,1.3834199e-06,1.3220056e-06,1.2069394e-06,1.1897540e-06,1.2174314e-06,1.1896951e-06,1.1057980e-06,1.1816785e-06,1.1088042e-06,1.1481931e-06,1.0636686e-06,1.1068807e-06,1.0978358e-06,1.0787863e-06,1.0444971e-06,1.0342662e-06,1.0068968e-06,9.8030796e-07,9.8563066e-07,9.6411395e-07,9.4610022e-07,9.4390373e-07,9.3947961e-07,9.0230799e-07,9.0056352e-07,8.9192474e-07,8.8141314e-07,8.6177607e-07,8.5361330e-07,8.4015920e-07,3.1810030e-06,5.0604342e-07,9.1485582e-08,1.7227904e-07,3.3283794e-07,5.0408207e-08,2.0261803e-07,3.7277527e-08,-6.0570358e-08,1.1200838e-07,3.0916027e-08,1.0808379e-08,5.8667162e-08,3.4966710e-08,4.8402473e-08,9.4539265e-09,1.8844366e-08,2.0912392e-08,1.2620212e-08,2.4377547e-08,7.0379040e-09,9.1833474e-09,1.2278959e-09,-5.0952020e-09,1.0956303e-09,2.8616116e-09,4.9354134e-09,-6.0047967e-09,-2.7770539e-09,3.9840212e-10,-1.8645869e-09,2.7489382e-09,3.8725640e-09,-2.5058957e-09,3.2843392e-09,-1.3915110e-06,1.6900036e-07,-1.8810907e-07,1.0780572e-07,6.2719030e-09,3.7867220e-09,5.7563568e-08,5.9967448e-08,-3.6544677e-08,1.9600371e-08,-3.0129428e-08,-2.7263276e-08,-1.1522372e-07,1.0788927e-08,-3.5591025e-08,3.2931478e-08,-3.5217882e-09,-3.0721079e-08,-1.8764917e-08,4.0439923e-09,-5.2279954e-09,1.0027134e-09,4.8061257e-09,-1.7149590e-08,3.6226095e-09,-4.3634360e-10,3.2171605e-09,-2.0564508e-08,6.3189884e-09,1.7869926e-10,-3.9703330e-09,-5.5708393e-09,-2.0384618e-08,2.2743098e-08,-4.2330117e-09
.66000003,.028089544,.021241738,1.5961771e-06,4.9000819e-06,1.7522833e-06,1.6466844e-06,1.6653536e-06,1.6481810e-06,1.3831678e-06,1.4022366e-06,1.3285443e-06,1.2838200e-06,1.2073149e-06,1.1919004e-06,1.2272754e-06,1.1442469e-06,1.1387027e-06,1.0886059e-06,1.1104876e-06,1.1211428e-06,1.0934839e-06,1.0516255e-06,1.0462504e-06,1.0170459e-06,1.0032117e-06,1.0046576e-06,9.7835289e-07,9.6148835e-07,9.4912093e-07,9.4775544e-07,9.1611116e-07,9.0610928e-07,8.9381979e-07,8.8390698e-07,8.6095679e-07,8.4905110e-07,8.3399192e-07,5.0604342e-07,3.9400784e-06,-3.1340360e-08,3.7129766e-07,2.9202656e-07,2.1745701e-07,1.7218346e-07,2.0517386e-07,1.1919149e-08,6.5171044e-08,-7.0896387e-09,6.0269700e-09,4.7344528e-08,2.0910239e-08,8.3356611e-09,-1.2601824e-08,2.8316810e-08,-5.5348308e-09,5.0604529e-09,1.6395498e-08,-3.1096152e-09,-3.3635726e-11,-6.8354620e-09,4.4873891e-09,2.5274898e-09,1.9203590e-09,1.0063361e-09,-5.5440879e-09,4.0907189e-10,-4.6143591e-09,-4.4448596e-09,-2.2009709e-10,2.0316793e-09,-6.0420118e-09,-2.5011979e-09,4.8643454e-08,-1.8500502e-06,-3.5727118e-07,-1.2246275e-07,-3.5730888e-08,-8.6623565e-08,3.3661649e-08,-2.5591577e-08,-8.3981170e-08,3.8061523e-09,-7.1523503e-09,-6.0297665e-09,-5.8772113e-08,3.2072023e-08,2.4064370e-08,5.0663015e-08,1.4844624e-08,-1.6015550e-08,-1.1824016e-08,1.1774831e-08,7.7183575e-09,1.2953183e-08,2.6931988e-09,-2.1937801e-08,4.8060640e-09,-1.9687434e-09,6.8664958e-09,-2.1761759e-08,2.4640421e-09,2.3170081e-09,-1.4215923e-09,-2.5468359e-09,-2.0283682e-08,2.7271755e-08,1.1101761e-09
.67000002,.028026549,.024321442,1.6513419e-06,1.7522833e-06,3.2428732e-06,1.5266277e-06,1.3781088e-06,1.6104368e-06,1.2672721e-06,1.2622776e-06,1.2753018e-06,1.1846386e-06,1.1306603e-06,1.1410093e-06,1.1446143e-06,1.0768994e-06,1.0905264e-06,1.0837084e-06,1.0871995e-06,1.1103317e-06,1.0701339e-06,1.0299433e-06,1.0313763e-06,1.0132252e-06,9.8242390e-07,9.9510612e-07,9.7315296e-07,9.5006794e-07,9.3559186e-07,9.4570595e-07,9.0998327e-07,9.0508757e-07,8.9621415e-07,8.8550138e-07,8.6216914e-07,8.5535186e-07,8.4171489e-07,9.1485582e-08,-3.1340360e-08,5.0244103e-06,2.2342574e-08,-1.7597307e-07,1.4198670e-07,5.7114789e-08,1.2649176e-07,1.4421611e-08,4.8002764e-08,-7.1386648e-09,2.6450339e-08,-6.3824084e-09,-5.2578342e-09,-1.4721477e-08,7.0790609e-09,-1.8852523e-08,7.0265673e-09,-1.5031741e-08,-2.8034618e-08,-1.5257863e-08,-2.7851625e-09,-9.1628110e-09,-2.1980675e-09,4.7908832e-09,-2.7908573e-10,-6.8438237e-09,-5.8973160e-09,-1.6802265e-10,-2.3829407e-09,-1.5048395e-09,5.3687445e-12,-4.3804236e-09,-5.9906125e-09,-3.8475489e-09,-1.3686430e-07,-1.3960317e-07,-4.2679955e-07,6.0272164e-08,8.1354941e-08,-1.6135992e-07,8.7222787e-08,7.8573521e-09,-5.1811792e-08,5.8117642e-08,-6.0189951e-09,-3.0072393e-08,-2.4770836e-08,7.2315977e-08,1.5659808e-08,3.4248302e-08,2.4312911e-08,-4.2964757e-08,-4.0173989e-10,3.3350066e-08,9.4873203e-09,6.6889472e-09,8.3562437e-09,-2.1442222e-08,-2.2599473e-09,-1.9175751e-11,1.5698012e-08,-2.4779650e-08,-6.5246190e-11,-1.1242834e-09,-6.1216245e-09,-7.3951263e-09,-1.6158392e-08,2.5284143e-08,-2.0597799e-09
.68000001,.029856214,.022181528,1.4402598e-06,1.6466844e-06,1.5266277e-06,3.1384316e-06,1.4547963e-06,1.5472755e-06,1.4274099e-06,1.3116562e-06,1.3268747e-06,1.1855998e-06,1.1659048e-06,1.1104767e-06,1.1383540e-06,1.0984156e-06,1.0801155e-06,1.0488944e-06,1.0994345e-06,1.0885121e-06,1.0639817e-06,1.0306599e-06,1.0102137e-06,9.7824466e-07,9.8864143e-07,9.8522537e-07,9.6641986e-07,9.3904168e-07,9.3030013e-07,9.3321569e-07,9.0122671e-07,8.9975958e-07,8.8886941e-07,8.7806950e-07,8.5607724e-07,8.5157353e-07,8.3575321e-07,1.7227904e-07,3.7129766e-07,2.2342574e-08,2.5801198e-06,2.8731114e-07,2.4169262e-07,2.0373579e-07,-3.8878358e-08,6.4164681e-08,-9.2204004e-09,-1.2230818e-08,6.7947958e-08,7.9275936e-10,-2.0359719e-08,2.4083105e-08,-2.6846878e-08,2.6107951e-08,2.3741977e-09,2.0826910e-11,9.3390371e-09,-1.1428375e-08,-1.2774763e-08,2.2110818e-09,1.3907228e-09,1.7609416e-09,-4.1221986e-09,-9.4425898e-09,-1.2456642e-08,-2.1134032e-09,-4.3988355e-09,-7.3362001e-09,-6.7685786e-09,-4.3454822e-09,-6.7193717e-09,-4.1426875e-09,6.2873553e-08,-8.9667673e-10,-3.1381337e-08,-9.8839632e-07,1.7680669e-08,-1.7220320e-07,1.0116089e-08,4.0759517e-08,-5.8172933e-08,7.9896779e-08,-2.4582578e-08,-1.4476132e-08,4.2553747e-09,4.8340642e-08,2.4178227e-08,5.5692141e-08,2.4409554e-09,-2.3108196e-08,-2.1383246e-09,1.8468031e-08,1.7885537e-08,2.7400624e-08,-1.6675010e-09,-2.1794223e-08,-5.0956435e-09,3.6726771e-09,1.5632263e-08,-1.6062375e-08,3.3472580e-09,-1.4570341e-10,-9.4825270e-10,1.2723037e-09,-1.4213168e-08,2.6317418e-08,1.2713299e-09
.69,.028723093,.02106946,1.4958979e-06,1.6653536e-06,1.3781088e-06,1.4547963e-06,3.0416425e-06,1.4310754e-06,1.4616784e-06,1.2808658e-06,1.2001116e-06,1.2444957e-06,1.2492942e-06,1.1369784e-06,1.2748433e-06,1.1408683e-06,1.1374282e-06,1.1024943e-06,1.1145095e-06,1.1119868e-06,1.0977988e-06,1.0509613e-06,1.0512287e-06,1.0488752e-06,1.0064434e-06,1.0036385e-06,9.8709154e-07,9.5459177e-07,9.5234452e-07,9.5145083e-07,9.1701651e-07,9.1521258e-07,9.0469285e-07,8.9339636e-07,8.7407670e-07,8.6704068e-07,8.4963506e-07,3.3283794e-07,2.9202656e-07,-1.7597307e-07,2.8731114e-07,2.4193739e-06,3.1728828e-07,4.5372821e-07,8.9982130e-08,-6.0526581e-08,1.0135722e-07,1.2458246e-07,3.9638557e-08,9.6375999e-08,4.0150347e-08,5.7104224e-08,1.5511148e-08,3.6257227e-08,5.8526370e-09,8.2785014e-09,1.2242213e-08,1.7009903e-09,1.9266464e-08,7.3520230e-09,-2.4520741e-09,8.5281533e-09,-2.7021823e-09,6.3044847e-10,-6.5617241e-09,-4.1726436e-10,-2.2004794e-09,-2.5818883e-09,-2.3421773e-10,1.4539151e-09,-8.1139728e-10,-1.6122619e-09,-1.5295709e-07,-9.2713812e-08,-2.0795268e-07,-9.3295704e-08,-9.0976494e-07,-7.4600756e-08,-1.8702421e-07,-8.8867154e-08,-1.0907893e-07,-1.5159197e-08,-1.2880494e-07,-4.2274980e-08,-1.4424867e-07,-2.7435423e-09,-3.3543653e-08,2.3677464e-08,8.3873619e-10,-2.1545375e-08,-8.7415906e-09,1.1154372e-08,1.7805039e-09,-9.8884625e-09,-9.9640640e-10,-1.9326807e-08,-5.2358642e-09,3.3536591e-09,1.3438533e-08,-1.8571813e-08,5.5022586e-09,2.6564545e-10,-1.1569108e-09,-7.8013768e-10,-1.7512944e-08,2.5335511e-08,1.2235902e-09
.69999999,.030923249,.024021242,1.3834199e-06,1.6481810e-06,1.6104368e-06,1.5472755e-06,1.4310754e-06,3.0981207e-06,1.4760386e-06,1.3498584e-06,1.3585494e-06,1.2743599e-06,1.3266819e-06,1.1731663e-06,1.2152597e-06,1.1168863e-06,1.1542900e-06,1.1494577e-06,1.1599288e-06,1.1651841e-06,1.1371560e-06,1.0743705e-06,1.0912177e-06,1.0580671e-06,1.0350310e-06,1.0506154e-06,1.0167422e-06,9.9170222e-07,9.8479882e-07,9.9605450e-07,9.5271554e-07,9.5251744e-07,9.3993515e-07,9.2754487e-07,9.0697904e-07,8.9791354e-07,8.8224834e-07,5.0408207e-08,2.1745701e-07,1.4198670e-07,2.4169262e-07,3.1728828e-07,1.7177367e-06,2.7228009e-07,-2.4077065e-07,7.0350687e-08,7.1146850e-08,5.0008182e-08,4.1948802e-08,5.3036683e-08,1.2621316e-08,1.6565005e-08,-9.5945678e-09,1.4476868e-08,1.4836541e-08,9.0640482e-09,-5.6332374e-09,1.1329542e-08,-7.0287154e-09,3.6314785e-09,4.6722315e-09,-5.9481936e-10,-4.4858757e-09,-1.8543371e-09,-7.4733786e-10,-3.1083092e-09,-2.7380456e-09,-3.4592096e-09,-1.1627710e-09,-5.2773452e-10,-5.9947540e-09,-4.1537929e-09,9.4766008e-08,-1.1038810e-07,-4.9741420e-09,-5.7708188e-08,6.9606068e-09,-7.0022156e-07,1.7811296e-08,-4.5516760e-08,-1.2489360e-07,4.9717745e-08,-4.3486136e-08,-3.6492796e-08,-8.8897757e-08,7.7105547e-08,1.3080803e-08,-4.8519859e-09,-2.5678919e-09,-3.8894537e-08,-1.3681028e-08,3.2973297e-08,3.5422336e-09,1.2445836e-08,1.2990168e-08,-2.6302409e-08,8.0106428e-09,7.9340872e-09,1.6003531e-08,-2.4010326e-08,6.2732504e-09,1.2082116e-09,-1.1876251e-10,-6.1085181e-10,-1.5481207e-08,2.9543452e-08,2.7023042e-09
.70999998,.030484121,.023636568,1.3220056e-06,1.3831678e-06,1.2672721e-06,1.4274099e-06,1.4616784e-06,1.4760386e-06,2.9395467e-06,1.3440770e-06,1.3664563e-06,1.2692877e-06,1.2126783e-06,1.1504654e-06,1.2055724e-06,1.1203681e-06,1.1300785e-06,1.0953505e-06,1.1465877e-06,1.1131992e-06,1.0941011e-06,1.0774788e-06,1.0530053e-06,1.0363954e-06,1.0102807e-06,1.0129107e-06,9.8586952e-07,9.5895882e-07,9.5308343e-07,9.5504663e-07,9.1904661e-07,9.1335085e-07,9.0384486e-07,8.9214200e-07,8.6956283e-07,8.6538631e-07,8.4820925e-07,2.0261803e-07,1.7218346e-07,5.7114789e-08,2.0373579e-07,4.5372821e-07,2.7228009e-07,2.0031712e-06,1.0428813e-07,8.4026340e-08,1.0475725e-07,9.7174926e-08,8.6845255e-08,9.0597219e-08,3.2337585e-08,9.5506046e-08,3.5468460e-08,8.7432241e-08,2.3096980e-08,2.3540332e-08,5.6561273e-08,3.0136253e-08,1.5267494e-08,1.3441569e-08,7.1344290e-09,2.7735370e-10,-3.5062567e-10,-3.6039023e-09,-8.3995690e-09,-3.2910987e-09,-5.7534089e-09,-3.8158432e-09,-2.0085609e-09,-2.4634144e-09,-5.3809592e-09,-6.5578837e-10,-6.2361991e-08,-6.4340561e-08,1.3583784e-07,-1.1639166e-08,-6.2946000e-08,-8.7353833e-08,-8.0999712e-07,-1.4818497e-07,-5.6076125e-08,7.0367044e-08,-3.6112255e-08,-4.2350525e-08,-9.0620993e-08,2.0717383e-08,-3.4574125e-08,9.0971506e-09,-3.2281775e-08,-3.0618491e-08,-1.2909955e-08,-7.0094930e-09,-4.4159409e-09,-1.0055139e-08,-9.6683517e-10,-2.6159938e-08,4.7907739e-10,3.6004886e-09,1.4073672e-08,-2.3417829e-08,2.0864040e-10,3.9515990e-10,-4.3022816e-09,-3.2610561e-09,-1.7140929e-08,2.4314222e-08,-1.5874310e-09
.72000003,.030081734,.024195762,1.2069394e-06,1.4022366e-06,1.2622776e-06,1.3116562e-06,1.2808658e-06,1.3498584e-06,1.3440770e-06,2.4743592e-06,1.3052662e-06,1.2408875e-06,1.2623165e-06,1.1053654e-06,1.2286206e-06,1.1237915e-06,1.1391554e-06,1.0769276e-06,1.1093728e-06,1.0949888e-06,1.0850348e-06,1.0462734e-06,1.0290626e-06,1.0143966e-06,1.0108025e-06,1.0046901e-06,9.7908242e-07,9.5540713e-07,9.4729779e-07,9.4405596e-07,9.1830884e-07,9.1653476e-07,9.0647291e-07,8.9191684e-07,8.7261537e-07,8.6326082e-07,8.5199542e-07,3.7277527e-08,2.0517386e-07,1.2649176e-07,-3.8878358e-08,8.9982130e-08,-2.4077065e-07,1.0428813e-07,2.5395302e-06,-6.4313483e-08,7.5123801e-08,-1.2560143e-09,-1.2197124e-08,6.0494500e-08,-1.4315987e-08,1.3124602e-08,-5.3056681e-10,3.4127176e-08,-1.2215355e-09,-9.4872865e-10,6.1901639e-09,-4.4730557e-09,-7.7498754e-09,6.7173827e-09,-1.4832011e-08,-1.1623830e-09,-3.6286962e-09,-3.4115055e-09,-9.5554658e-09,-3.9521888e-09,-3.7589047e-09,-5.4621645e-09,-2.2984104e-09,-3.0697067e-09,-8.8385113e-09,-4.0466971e-10,6.4553127e-08,-2.1819888e-07,-5.3264653e-08,-9.2107179e-08,-5.1159297e-08,-1.7197900e-07,-6.8968973e-08,-4.9126282e-07,-4.1600799e-08,-3.8629015e-08,-7.1606344e-08,3.5225717e-08,-5.0110916e-08,4.1626127e-08,-4.9523705e-09,4.5246274e-08,-3.0172314e-09,-1.8383883e-08,-7.4744326e-09,1.3177713e-08,1.9499980e-08,6.6923360e-09,-6.8416250e-09,-2.5146795e-08,-4.0430739e-09,1.3166229e-09,1.1423184e-08,-1.6327864e-08,-3.2279698e-10,-3.1726837e-09,-6.1626895e-09,-4.4755746e-09,-1.9732447e-08,2.7178967e-08,-1.8311732e-09
.73000002,.030362027,.02480443,1.1897540e-06,1.3285443e-06,1.2753018e-06,1.3268747e-06,1.2001116e-06,1.3585494e-06,1.3664563e-06,1.3052662e-06,2.5311767e-06,1.2466281e-06,1.2772183e-06,1.1537618e-06,1.2546833e-06,1.1259370e-06,1.1265300e-06,1.0941441e-06,1.1126112e-06,1.0946486e-06,1.0940764e-06,1.0686184e-06,1.0472263e-06,1.0272064e-06,9.9119450e-07,1.0127886e-06,9.7992904e-07,9.5066315e-07,9.4366629e-07,9.4474177e-07,9.1197199e-07,9.0993632e-07,8.9646682e-07,8.8710851e-07,8.6742591e-07,8.6228079e-07,8.4554483e-07,-6.0570358e-08,1.1919149e-08,1.4421611e-08,6.4164681e-08,-6.0526581e-08,7.0350687e-08,8.4026340e-08,-6.4313483e-08,1.9436334e-06,-4.1610981e-08,1.4369138e-07,6.7668125e-08,1.0810665e-07,1.9389551e-08,6.0492340e-08,4.1229242e-08,4.4106521e-08,4.9809952e-09,1.3764210e-08,1.5813301e-08,1.4230991e-08,-4.6541273e-09,1.1361356e-09,3.5334416e-10,-6.6561673e-10,-1.6879902e-09,-7.9755029e-09,-1.6382973e-08,-1.2708851e-08,-8.1501321e-09,-1.2303786e-08,-5.7062937e-09,-5.2593392e-09,-6.8788624e-09,-6.0519874e-09,-3.8724160e-08,-1.3705258e-07,-2.0432550e-08,-8.9667900e-08,-7.6035427e-08,-1.2207022e-07,-6.0569562e-08,-6.0879174e-08,-8.2168341e-08,-3.6896580e-08,-9.5912291e-08,-1.3541666e-08,-7.6325577e-08,7.4271767e-09,-4.8219944e-09,3.2550187e-08,-1.1311312e-08,-1.9659572e-08,-7.1240778e-09,-6.4793482e-09,3.6832106e-09,4.1750960e-12,1.3042992e-08,-2.5504875e-08,-2.4619460e-09,6.6466859e-09,1.5269967e-08,-2.1167319e-08,3.4015404e-09,9.0427693e-10,-1.3378214e-10,-2.0178990e-09,-1.6045140e-08,2.5561329e-08,2.8469607e-10
.74000001,.031883471,.026357725,1.2174314e-06,1.2838200e-06,1.1846386e-06,1.1855998e-06,1.2444957e-06,1.2743599e-06,1.2692877e-06,1.2408875e-06,1.2466281e-06,2.4898284e-06,1.2294239e-06,1.2162010e-06,1.2661978e-06,1.0928708e-06,1.1204753e-06,1.1083093e-06,1.1107423e-06,1.0962435e-06,1.0902212e-06,1.0609729e-06,1.0260910e-06,9.8939381e-07,1.0014792e-06,9.9128363e-07,9.6942972e-07,9.4544674e-07,9.4519959e-07,9.3670621e-07,9.0383497e-07,9.0598968e-07,8.9255275e-07,8.8202944e-07,8.6376696e-07,8.5763554e-07,8.4564078e-07,1.1200838e-07,6.5171044e-08,4.8002764e-08,-9.2204004e-09,1.0135722e-07,7.1146850e-08,1.0475725e-07,7.5123801e-08,-4.1610981e-08,1.6854532e-06,9.0508181e-08,-4.9016752e-08,8.2540218e-08,7.2498976e-09,2.1339739e-09,3.1383902e-08,3.6013713e-08,-1.8250873e-08,1.5712130e-08,2.5138085e-08,3.6099574e-09,-1.3561508e-08,1.5072319e-08,1.8777764e-09,2.3804569e-10,8.6340943e-09,6.0195160e-09,-4.8723718e-09,-2.2799339e-10,1.8609232e-09,-4.1180042e-09,6.8791500e-10,8.0380474e-10,-1.7144619e-09,3.0455516e-09,-8.0414591e-09,-6.6808546e-08,3.1162722e-10,2.3358677e-08,2.0775831e-08,-5.9571654e-08,4.0442806e-08,1.1505692e-08,6.0764215e-08,-4.3095343e-07,-4.8391630e-08,-1.2622178e-07,-9.6572705e-08,4.8467133e-08,-1.2746352e-08,6.6244250e-09,5.4135407e-09,-2.2576172e-08,-2.7207454e-08,-4.0464876e-09,5.9089751e-09,1.9688965e-08,-2.2717339e-09,-2.6105615e-08,-1.9377555e-09,2.6443797e-10,3.3485192e-09,-1.9366073e-08,1.7615766e-09,-4.1834287e-09,-4.3762824e-09,-4.1611021e-09,-1.9033012e-08,2.2964732e-08,-4.7382627e-09
