occu,ratepriv,ratecaid,varpriv65,varpriv66,varpriv67,varpriv68,varpriv69,varpriv70,varpriv71,varpriv72,varpriv73,varpriv74,varpriv75,varpriv76,varpriv77,varpriv78,varpriv79,varpriv80,varpriv81,varpriv82,varpriv83,varpriv84,varpriv85,varpriv86,varpriv87,varpriv88,varpriv89,varpriv90,varpriv91,varpriv92,varpriv93,varpriv94,varpriv95,varpriv96,varpriv97,varpriv98,varpriv99,varcaid65,varcaid66,varcaid67,varcaid68,varcaid69,varcaid70,varcaid71,varcaid72,varcaid73,varcaid74,varcaid75,varcaid76,varcaid77,varcaid78,varcaid79,varcaid80,varcaid81,varcaid82,varcaid83,varcaid84,varcaid85,varcaid86,varcaid87,varcaid88,varcaid89,varcaid90,varcaid91,varcaid92,varcaid93,varcaid94,varcaid95,varcaid96,varcaid97,varcaid98,varcaid99,covar65,covar66,covar67,covar68,covar69,covar70,covar71,covar72,covar73,covar74,covar75,covar76,covar77,covar78,covar79,covar80,covar81,covar82,covar83,covar84,covar85,covar86,covar87,covar88,covar89,covar90,covar91,covar92,covar93,covar94,covar95,covar96,covar97,covar98,covar99
.64999998,.043329421,.025844526,7.2206276e-06,3.9764650e-06,3.0480537e-06,2.3973269e-06,2.6513073e-06,2.8440645e-06,2.3334840e-06,2.1728056e-06,2.3991749e-06,2.1664930e-06,2.1426129e-06,2.0584739e-06,2.0239409e-06,2.1178955e-06,1.9358256e-06,1.9937195e-06,1.9272336e-06,1.9620818e-06,1.9526294e-06,1.9516608e-06,1.9059838e-06,1.8952433e-06,1.8990229e-06,1.7889281e-06,1.7660873e-06,1.7726608e-06,1.7336324e-06,1.7239239e-06,1.7049118e-06,1.6437730e-06,1.6272206e-06,1.6249580e-06,1.5921445e-06,1.5483655e-06,1.4698319e-06,6.0142893e-06,2.0585173e-06,1.2157111e-06,9.6387032e-07,1.2808659e-06,9.3115483e-07,4.7402054e-07,3.4524149e-07,5.5768515e-07,3.0337847e-07,3.4020326e-07,2.5425618e-07,1.3418753e-07,1.6463459e-07,1.3068369e-08,1.1903553e-07,2.1397922e-08,5.6094450e-08,8.7455447e-08,3.9381781e-08,9.2867376e-09,-5.3977045e-09,-1.4479391e-08,-2.1017199e-08,-3.8001104e-08,-1.7493358e-08,-1.5822275e-08,-2.7398345e-08,-3.6104662e-08,-4.1424183e-08,-3.9904140e-08,-4.1185036e-08,-2.8278844e-08,-2.4703343e-08,-3.2174487e-08,-4.8631096e-06,-1.7871471e-06,-8.0337406e-07,-3.7146245e-07,-7.4950691e-07,-8.0503514e-07,-3.1653175e-07,-1.4125102e-07,-3.8608383e-07,-2.3737988e-07,-1.9487476e-07,-1.7361741e-07,-1.1371726e-07,-1.8167228e-07,-5.2139491e-08,-1.0908457e-07,-5.0229005e-08,-1.0325353e-07,-9.5053608e-08,-1.2849482e-07,-9.1206445e-08,-9.7635677e-08,-1.1078755e-07,-1.9706613e-08,-1.4285771e-08,-3.8539817e-08,-1.0456975e-08,-2.4150550e-08,-1.5528705e-08,3.3964049e-08,4.8517723e-08,2.7839761e-08,4.9672106e-08,7.9927887e-08,1.4895899e-07
.66000003,.043023817,.027156524,3.9764650e-06,9.2734654e-06,3.4525422e-06,2.7870685e-06,2.9049152e-06,3.3664085e-06,2.7045151e-06,2.7791359e-06,2.3902376e-06,2.2579027e-06,2.4140459e-06,2.3176533e-06,2.1348119e-06,2.3603895e-06,2.0961058e-06,2.1413894e-06,2.1364103e-06,1.9949262e-06,2.0583541e-06,2.0384568e-06,2.0165514e-06,2.0187742e-06,2.0708417e-06,1.9373902e-06,1.9045057e-06,1.8915034e-06,1.8713854e-06,1.8667089e-06,1.8426898e-06,1.7756103e-06,1.7621835e-06,1.7632160e-06,1.7267299e-06,1.6821310e-06,1.5871775e-06,2.0585173e-06,7.5313019e-06,1.5676781e-06,1.1949168e-06,1.2699153e-06,1.1164162e-06,6.5931289e-07,6.7292393e-07,3.9376968e-07,1.4101644e-07,4.2207307e-07,2.7062802e-07,9.4532389e-08,2.3179666e-07,-3.6003904e-08,6.9121150e-08,6.4523618e-08,-6.9571335e-08,6.3060433e-08,4.7426187e-09,-1.3141502e-08,6.3507022e-09,2.3793163e-08,1.6930644e-09,-2.9603772e-08,-2.5489713e-08,-1.2415328e-08,-1.2432039e-08,-2.6349351e-08,-3.4683847e-08,-2.9081995e-08,-2.4989365e-08,-1.0370660e-08,-8.2931138e-09,-2.1457369e-08,-1.5852670e-06,-6.8398590e-06,-1.1071714e-06,-5.7729767e-07,-6.6174670e-07,-1.0617015e-06,-4.6271549e-07,-4.6196507e-07,-2.0917163e-07,-9.2334439e-08,-2.7614419e-07,-2.0584019e-07,-7.6048607e-08,-2.5589125e-07,-1.1581023e-08,-9.9994217e-08,-1.1280869e-07,1.3685594e-08,-7.2395679e-08,-8.6793278e-08,-7.9538154e-08,-9.0332200e-08,-1.4228469e-07,-3.7744936e-08,-2.3674341e-08,-2.3771040e-08,-1.6225092e-08,-3.5006142e-08,-2.2605995e-08,3.1040443e-08,4.2293916e-08,1.6372278e-08,3.7595569e-08,6.9805559e-08,1.4895470e-07
.67000002,.038495392,.029554036,3.0480537e-06,3.4525422e-06,5.6558370e-06,2.4755348e-06,2.5035415e-06,2.7097205e-06,2.2750485e-06,2.0257778e-06,2.1534365e-06,2.2416848e-06,2.0382829e-06,2.0903972e-06,1.9509810e-06,2.0352245e-06,1.9779504e-06,1.9483589e-06,1.9271117e-06,1.9433910e-06,1.9139945e-06,1.8738978e-06,1.9078341e-06,1.8960583e-06,1.8798135e-06,1.7789984e-06,1.7537656e-06,1.7382802e-06,1.7153402e-06,1.7041123e-06,1.6927229e-06,1.6282066e-06,1.6200136e-06,1.6121102e-06,1.5814609e-06,1.5437369e-06,1.4645534e-06,1.2157111e-06,1.5676781e-06,4.3031432e-06,9.5131736e-07,9.6354870e-07,6.3463915e-07,4.7763484e-07,1.5285005e-07,3.0175642e-07,3.2974100e-07,2.8420573e-07,3.3076606e-07,1.1724087e-07,1.4412763e-07,1.3350257e-07,1.2840808e-07,8.7949594e-08,7.4742154e-08,5.6976567e-08,-1.8001630e-08,4.1539050e-08,3.7099557e-08,-6.9267697e-10,9.1760266e-10,-3.1617233e-08,-3.5304467e-08,-2.6075327e-08,-3.3667259e-08,-3.5972153e-08,-4.2486967e-08,-3.4496562e-08,-4.2475229e-08,-2.8601784e-08,-2.4639034e-08,-3.0618075e-08,-8.9117572e-07,-1.2812042e-06,-3.4420532e-06,-3.8455153e-07,-4.9604893e-07,-6.5477883e-07,-2.7850291e-07,9.5379882e-09,-1.8304607e-07,-3.3343255e-07,-1.1126708e-07,-2.3590557e-07,-8.8004803e-08,-1.4879433e-07,-1.4702151e-07,-1.2469229e-07,-1.0722091e-07,-1.3101509e-07,-9.1720437e-08,-7.3750208e-08,-1.3348784e-07,-1.2493096e-07,-1.2321627e-07,-3.4913889e-08,-1.6041939e-08,-2.2162638e-08,-3.7481600e-09,-1.6514042e-08,-1.2333929e-08,3.8794123e-08,4.8315073e-08,3.4390933e-08,5.4685227e-08,8.6095547e-08,1.6023260e-07
.68000001,.041005258,.028178029,2.3973269e-06,2.7870685e-06,2.4755348e-06,4.6144887e-06,2.4616540e-06,2.4445542e-06,2.2196991e-06,2.1974656e-06,2.2037113e-06,2.1977496e-06,2.0555299e-06,2.0387515e-06,1.9883457e-06,1.9888002e-06,1.9761262e-06,1.9484501e-06,1.9080921e-06,1.9442380e-06,1.9154586e-06,1.9025181e-06,1.8746986e-06,1.8828686e-06,1.8960703e-06,1.7830140e-06,1.7708836e-06,1.7633631e-06,1.7305254e-06,1.7152746e-06,1.7072083e-06,1.6476250e-06,1.6340556e-06,1.6338437e-06,1.5987672e-06,1.5599553e-06,1.4910081e-06,9.6387032e-07,1.1949168e-06,9.5131736e-07,3.6467018e-06,1.1348803e-06,7.8529393e-07,4.9926740e-07,4.9562237e-07,5.0224861e-07,3.2872421e-07,3.3422202e-07,2.5767974e-07,1.8487786e-07,1.1945266e-07,1.4204907e-07,1.4903164e-07,7.2658878e-08,7.6144431e-08,3.1984463e-08,1.0629648e-08,-3.0012413e-09,2.2710797e-08,1.3544740e-08,-1.6746609e-08,-2.5939677e-08,-2.1176561e-08,-3.0995736e-08,-4.2307025e-08,-4.4963826e-08,-4.6866756e-08,-4.3162828e-08,-4.3335724e-08,-3.3628229e-08,-2.9189207e-08,-3.0704005e-08,-6.0253586e-07,-1.0132042e-06,-6.3901933e-07,-2.7632366e-06,-5.4952278e-07,-5.8655280e-07,-2.8755179e-07,-2.9081789e-07,-3.3686993e-07,-3.3058575e-07,-1.7010167e-07,-1.6202002e-07,-1.3380445e-07,-1.0883232e-07,-1.2260570e-07,-1.2073026e-07,-5.6544646e-08,-1.1455664e-07,-7.3534387e-08,-9.2780198e-08,-7.4420733e-08,-9.5182088e-08,-1.2045676e-07,-1.4787550e-08,-1.8411756e-08,-2.7795657e-08,8.8705210e-10,-7.3569097e-09,-6.6364234e-09,4.0901877e-08,5.2972872e-08,3.2743451e-08,5.7946099e-08,8.7813277e-08,1.5401866e-07
.69,.039983056,.026718639,2.6513073e-06,2.9049152e-06,2.5035415e-06,2.4616540e-06,4.7125563e-06,2.3167390e-06,2.2096490e-06,2.3914506e-06,2.1746198e-06,2.0650343e-06,2.0298719e-06,2.0166169e-06,1.9614313e-06,2.0470645e-06,1.9123145e-06,1.8857612e-06,1.8944662e-06,1.8436688e-06,1.8489494e-06,1.8724240e-06,1.8685524e-06,1.8854795e-06,1.8738119e-06,1.7550426e-06,1.7661030e-06,1.7398462e-06,1.6982158e-06,1.6936532e-06,1.6755680e-06,1.6186042e-06,1.6059386e-06,1.6029304e-06,1.5706797e-06,1.5381523e-06,1.4649544e-06,1.2808659e-06,1.2699153e-06,9.6354870e-07,1.1348803e-06,4.0619725e-06,8.4719051e-07,6.6508835e-07,8.6456640e-07,6.1768208e-07,3.4372331e-07,4.1235384e-07,3.4509861e-07,2.5959946e-07,2.6784440e-07,1.4323679e-07,1.6348491e-07,1.3280636e-07,3.4937564e-08,5.2154888e-08,2.8392773e-08,3.7364842e-08,6.4860878e-08,3.1017432e-08,-7.0247372e-09,-1.0657891e-08,-1.4246906e-08,-3.7692445e-08,-4.1446174e-08,-5.3454912e-08,-5.2999464e-08,-4.8013533e-08,-5.4639330e-08,-4.1767795e-08,-3.1993526e-08,-3.8954816e-08,-8.3101799e-07,-1.0927663e-06,-5.8909302e-07,-7.0910187e-07,-3.0178153e-06,-5.8730927e-07,-3.7198262e-07,-5.3121090e-07,-3.6850196e-07,-2.6373135e-07,-1.9616846e-07,-2.1957588e-07,-1.6859116e-07,-2.3983512e-07,-1.1011733e-07,-1.1332259e-07,-1.1630370e-07,-5.8147911e-08,-5.3488588e-08,-9.6201489e-08,-1.1087582e-07,-1.4014184e-07,-1.3534482e-07,-1.9799904e-08,-3.8478664e-08,-3.2709156e-08,6.8537447e-09,-1.0112488e-08,3.2999714e-10,4.5275662e-08,5.7320051e-08,4.1196941e-08,6.3350498e-08,8.8793719e-08,1.5987375e-07
.69999999,.039223198,.02829098,2.8440645e-06,3.3664085e-06,2.7097205e-06,2.4445542e-06,2.3167390e-06,4.4529420e-06,2.4575395e-06,2.3356431e-06,2.1626547e-06,2.3039490e-06,2.1641501e-06,2.1431745e-06,2.0133714e-06,2.1429935e-06,2.0169150e-06,1.9420193e-06,1.9336326e-06,1.9717233e-06,1.8673859e-06,1.8930948e-06,1.9020586e-06,1.8950872e-06,1.9081208e-06,1.7611375e-06,1.7476831e-06,1.7443875e-06,1.7292745e-06,1.7191554e-06,1.7010110e-06,1.6401420e-06,1.6187555e-06,1.6236785e-06,1.5840652e-06,1.5457952e-06,1.4667585e-06,9.3115483e-07,1.1164162e-06,6.3463915e-07,7.8529393e-07,8.4719051e-07,2.9509001e-06,6.1929251e-07,6.2462630e-07,3.8579554e-07,4.2453809e-07,3.6861937e-07,3.2456265e-07,1.9296694e-07,2.9178804e-07,1.8713682e-07,1.2121951e-07,9.1818073e-08,9.6580685e-08,-4.6110165e-09,1.0057351e-08,3.3976889e-08,2.0744572e-08,2.4553126e-08,-3.1045936e-08,-5.6053413e-08,-4.4286292e-08,-3.5700488e-08,-4.0270582e-08,-5.4158672e-08,-5.7562147e-08,-5.5345453e-08,-5.3957034e-08,-4.5595009e-08,-4.0789235e-08,-4.9292360e-08,-7.3584897e-07,-1.1602410e-06,-4.5150020e-07,-3.6979696e-07,-2.4105617e-07,-2.4439325e-06,-4.0195232e-07,-3.1470961e-07,-2.0815118e-07,-3.4962235e-07,-1.9997171e-07,-2.2157053e-07,-1.3395164e-07,-2.3364184e-07,-1.3833592e-07,-8.5816559e-08,-9.1142738e-08,-1.3733431e-07,-1.5317784e-08,-7.9677385e-08,-1.0284955e-07,-1.0517608e-07,-1.2850633e-07,1.0345423e-09,6.6498425e-09,-5.8596479e-09,5.0036428e-09,-9.4526573e-09,1.7596848e-09,4.9278341e-08,6.7098036e-08,4.1382890e-08,6.9127587e-08,9.8474629e-08,1.7269852e-07
.70999998,.041173365,.028015114,2.3334840e-06,2.7045151e-06,2.2750485e-06,2.2196991e-06,2.2096490e-06,2.4575395e-06,3.8682633e-06,2.2228355e-06,2.2036299e-06,2.1570909e-06,2.0968380e-06,2.1490034e-06,1.9943370e-06,2.0443597e-06,1.9121776e-06,1.8874813e-06,1.8879327e-06,1.8882861e-06,1.8541879e-06,1.8253506e-06,1.8101910e-06,1.8373034e-06,1.8217465e-06,1.7111378e-06,1.7154464e-06,1.6905154e-06,1.6691791e-06,1.6581478e-06,1.6471249e-06,1.5844129e-06,1.5760231e-06,1.5772594e-06,1.5429304e-06,1.5066814e-06,1.4342513e-06,4.7402054e-07,6.5931289e-07,4.7763484e-07,4.9926740e-07,6.6508835e-07,6.1929251e-07,2.5214672e-06,6.3590397e-07,5.8463127e-07,4.7267093e-07,5.1745661e-07,5.1034363e-07,2.9020094e-07,3.1262579e-07,1.8978247e-07,1.9009784e-07,1.7541966e-07,1.0996937e-07,7.6628531e-08,2.9419226e-08,2.7239869e-08,4.3170662e-08,9.0597432e-09,-8.7840784e-09,-2.0901133e-08,-3.5851407e-08,-4.1053024e-08,-4.2651958e-08,-4.9703406e-08,-5.8553837e-08,-3.7542186e-08,-4.7088538e-08,-3.5873448e-08,-2.9298320e-08,-3.3091343e-08,-3.4636574e-07,-7.2175504e-07,-2.7724886e-07,-2.6245505e-07,-2.5513449e-07,-4.9091210e-07,-1.9808547e-06,-3.2229988e-07,-3.1941204e-07,-3.4153732e-07,-2.6526368e-07,-3.5988725e-07,-1.9370056e-07,-2.5149191e-07,-1.3447071e-07,-1.3479047e-07,-1.3649927e-07,-1.3498419e-07,-8.1879030e-08,-9.2776638e-08,-9.4926953e-08,-1.2243157e-07,-1.1665434e-07,-1.5345895e-08,-2.8474833e-08,-1.2460402e-08,5.6339746e-09,-7.4801383e-09,-2.4481726e-09,4.9175853e-08,5.1435503e-08,3.5615123e-08,6.0018863e-08,8.7684960e-08,1.5829538e-07
.72000003,.043025572,.027385762,2.1728056e-06,2.7791359e-06,2.0257778e-06,2.1974656e-06,2.3914506e-06,2.3356431e-06,2.2228355e-06,4.0713180e-06,2.2128320e-06,2.2065092e-06,2.0957777e-06,2.1021094e-06,2.0321734e-06,2.0054370e-06,1.9461424e-06,1.9282445e-06,1.9532126e-06,1.9478716e-06,1.8887264e-06,1.8490931e-06,1.8246847e-06,1.8412026e-06,1.8486182e-06,1.7072830e-06,1.7291949e-06,1.6891494e-06,1.6679277e-06,1.6743353e-06,1.6557124e-06,1.5867176e-06,1.5712969e-06,1.5768082e-06,1.5404679e-06,1.5024103e-06,1.4260905e-06,3.4524149e-07,6.7292393e-07,1.5285005e-07,4.9562237e-07,8.6456640e-07,6.2462630e-07,6.3590397e-07,2.9181633e-06,8.1403533e-07,5.8625585e-07,5.0609560e-07,4.1656682e-07,3.9278279e-07,3.1640357e-07,2.6242006e-07,2.1108052e-07,2.2970552e-07,1.7647581e-07,1.2158486e-07,5.0459334e-08,3.7288903e-08,2.8541608e-08,1.8965771e-08,-4.4495170e-08,-2.2719211e-08,-5.2922509e-08,-5.4094251e-08,-4.0115530e-08,-5.6486975e-08,-6.8666701e-08,-6.3435408e-08,-6.2331907e-08,-5.0426127e-08,-4.5627488e-08,-5.2127422e-08,-2.5098967e-07,-8.1627007e-07,-3.5508766e-08,-2.8231426e-07,-4.9830743e-07,-4.7513979e-07,-3.6177926e-07,-2.2550253e-06,-4.6054501e-07,-3.9598379e-07,-2.2420453e-07,-2.2886114e-07,-2.4430773e-07,-1.7064748e-07,-1.4086014e-07,-1.2541275e-07,-1.7977716e-07,-1.7042476e-07,-1.2383796e-07,-9.2088513e-08,-8.4079275e-08,-1.0993216e-07,-1.2182426e-07,9.5379820e-09,-2.4163814e-08,3.0524365e-09,1.8265991e-08,-8.6611376e-09,3.6173025e-09,5.9874615e-08,7.4510581e-08,4.8382962e-08,7.2297276e-08,1.0242915e-07,1.7538764e-07
.73000002,.042656239,.027765661,2.3991749e-06,2.3902376e-06,2.1534365e-06,2.2037113e-06,2.1746198e-06,2.1626547e-06,2.2036299e-06,2.2128320e-06,3.6981153e-06,2.2574486e-06,2.3101059e-06,2.2264371e-06,2.0896850e-06,2.1098920e-06,2.0026939e-06,2.0773946e-06,1.9565930e-06,2.0279356e-06,1.9380109e-06,1.8904218e-06,1.8793833e-06,1.8907282e-06,1.8764974e-06,1.7589791e-06,1.7807885e-06,1.7553283e-06,1.7174788e-06,1.7110304e-06,1.7075148e-06,1.6386845e-06,1.6336372e-06,1.6362840e-06,1.5947144e-06,1.5556932e-06,1.4847562e-06,5.5768515e-07,3.9376968e-07,3.0175642e-07,5.0224861e-07,6.1768208e-07,3.8579554e-07,5.8463127e-07,8.1403533e-07,2.3202863e-06,6.4845534e-07,8.0439668e-07,6.9016323e-07,4.6604220e-07,5.2706520e-07,4.3807736e-07,4.3055076e-07,2.3882004e-07,2.4125561e-07,1.4743058e-07,6.6800226e-08,7.9401460e-08,5.4261239e-08,3.4906268e-08,-2.9509318e-08,-6.9846982e-09,-2.8127101e-08,-4.0167215e-08,-4.5951221e-08,-4.3096808e-08,-5.8464810e-08,-4.4282004e-08,-4.7034515e-08,-4.1192319e-08,-3.7402600e-08,-3.9768132e-08,-4.9636230e-07,-4.8441649e-07,-1.9868597e-07,-2.9909253e-07,-3.1350848e-07,-2.2220559e-07,-3.7412889e-07,-3.5901132e-07,-1.8426159e-06,-4.6414746e-07,-5.0509902e-07,-4.5771574e-07,-2.9884953e-07,-3.1122806e-07,-2.4536831e-07,-3.1082828e-07,-1.5436613e-07,-2.2017196e-07,-1.2417438e-07,-1.0499859e-07,-1.1753348e-07,-1.2191670e-07,-1.2621690e-07,-1.1844158e-08,-4.5652623e-08,-3.3073402e-08,1.9363613e-09,-7.8270777e-09,-1.5472324e-08,4.2990941e-08,4.4043293e-08,2.3646914e-08,5.5698081e-08,8.5643698e-08,1.5471737e-07
.74000001,.041846406,.028340727,2.1664930e-06,2.2579027e-06,2.2416848e-06,2.1977496e-06,2.0650343e-06,2.3039490e-06,2.1570909e-06,2.2065092e-06,2.2574486e-06,3.6666670e-06,2.1837407e-06,2.0750329e-06,1.9632130e-06,1.9821709e-06,1.9520839e-06,1.9300919e-06,1.8508978e-06,1.9508220e-06,1.9091096e-06,1.8861216e-06,1.8610274e-06,1.8403099e-06,1.8458162e-06,1.7453299e-06,1.7196254e-06,1.7059077e-06,1.6897345e-06,1.6723909e-06,1.6692807e-06,1.6065297e-06,1.6012533e-06,1.5989339e-06,1.5672534e-06,1.5278655e-06,1.4559722e-06,3.0337847e-07,1.4101644e-07,3.2974100e-07,3.2872421e-07,3.4372331e-07,4.2453809e-07,4.7267093e-07,5.8625585e-07,6.4845534e-07,2.2552388e-06,5.9244167e-07,5.1335093e-07,2.7963583e-07,3.7607072e-07,3.3172000e-07,2.7113944e-07,1.3839986e-07,1.9893771e-07,1.3834524e-07,7.9007243e-08,8.1287062e-08,4.2708397e-08,4.1477168e-08,-6.7937878e-09,-3.4206611e-08,-3.8118657e-08,-2.9393899e-08,-4.4250378e-08,-4.6538318e-08,-5.5874999e-08,-4.0565418e-08,-4.9035929e-08,-3.3891009e-08,-3.2610771e-08,-3.6669910e-08,-2.4862649e-07,-3.0201133e-07,-2.2369156e-07,-1.8660018e-07,-1.1102497e-07,-3.6258319e-07,-2.6902819e-07,-2.8368297e-07,-3.5179858e-07,-1.8268377e-06,-2.8987264e-07,-1.9829594e-07,-5.8980429e-08,-1.1057212e-07,-9.7233134e-08,-1.3541603e-07,-4.8590103e-08,-1.7173514e-07,-1.0797757e-07,-1.1573543e-07,-1.0637785e-07,-9.9910757e-08,-1.1990161e-07,-2.8368827e-08,-1.1782484e-08,-1.5988491e-08,-3.8031835e-09,-3.7792414e-09,-5.1372928e-09,4.3098442e-08,4.6281802e-08,3.0768646e-08,5.2277066e-08,8.4949093e-08,1.5501440e-07
