roundoccuinter,countobs
-.31,242
-.3,232
-.29,139
-.28,1513
-.27,1432
-.26,2188
-.25,3575
-.24,2893
-.23,4797
-.22,5835
-.21,7071
-.2,9992
-.19,15659
-.18,19367
-.17,21690
-.16,29394
-.15,36961
-.14,49050
-.13,67512
-.12,89580
-.11,122378
-.1,165585
-.09,232649
-.08,321224
-.07,440993
-.06,672904
-.05,937283
-.04,1329743
-.03,1958114
-.02,2849713
-.01,4096803
0,5406589
.01,4944774
.02,3605193
.03,2454945
.04,1593900
.05,1080382
.06,696486
.07,428809
.08,285438
.09,171862
.1,121853
.11,76311
.12,46693
.13,30265
.14,19843
.15,13003
.16,8578
.17,4519
.18,1686
.19,1444
.2,982
.21,440
.22,273
.23,435
.24,230
.25,382
.26,7
.27,10
.3,1
,3539562
