occulag_round,nextocculag_round,countobs
.64,.64,76722
.64,.65,12362
.64,.66,7333
.64,.67,4190
.64,.68,3361
.64,.69,1529
.64,.7,781
.64,.71,1013
.64,.72,571
.64,.73,240
.64,.74,98
.64,.75,91
.64,.76,217
.64,.77,160
.64,.78,82
.64,.79,109
.64,.8,43
.64,.81,73
.64,.82,43
.64,.83,8
.64,.84,19
.64,.85,37
.64,.86,35
.64,.87,28
.64,.88,6
.64,.89,108
.64,.91,27
.64,.92,3
.64,.93,8
.64,.94,1
.64,.95,4
.64,.97,1
.64,.98,2
.64,,6537
.65,.64,9401
.65,.65,69455
.65,.66,13195
.65,.67,7192
.65,.68,4866
.65,.69,2762
.65,.7,1116
.65,.71,1266
.65,.72,498
.65,.73,416
.65,.74,355
.65,.75,192
.65,.76,235
.65,.77,133
.65,.78,104
.65,.79,65
.65,.8,146
.65,.81,167
.65,.82,108
.65,.83,34
.65,.84,67
.65,.85,33
.65,.87,2
.65,.88,19
.65,.89,3
.65,.9,33
.65,.91,3
.65,.92,1
.65,.93,1
.65,.95,4
.65,.96,1
.65,.97,1
.65,.99,1
.65,,7049
.66,.64,5719
.66,.65,8260
.66,.66,77550
.66,.67,12964
.66,.68,10206
.66,.69,5507
.66,.7,3428
.66,.71,1805
.66,.72,955
.66,.73,682
.66,.74,488
.66,.75,271
.66,.76,298
.66,.77,134
.66,.78,164
.66,.79,61
.66,.8,84
.66,.81,92
.66,.82,110
.66,.83,15
.66,.84,12
.66,.85,14
.66,.86,8
.66,.87,23
.66,.88,3
.66,.89,90
.66,.9,2
.66,.91,19
.66,.92,5
.66,.93,31
.66,.94,5
.66,.95,1
.66,.97,4
.66,,7055
.67,.64,3769
.67,.65,5844
.67,.66,9558
.67,.67,94559
.67,.68,16558
.67,.69,10339
.67,.7,5908
.67,.71,3926
.67,.72,1869
.67,.73,1695
.67,.74,835
.67,.75,435
.67,.76,370
.67,.77,145
.67,.78,166
.67,.79,148
.67,.8,40
.67,.81,67
.67,.82,80
.67,.83,77
.67,.84,12
.67,.85,38
.67,.86,49
.67,.87,21
.67,.88,25
.67,.89,119
.67,.9,5
.67,.92,6
.67,.93,4
.67,.94,14
.67,.95,43
.67,.96,26
.67,.97,1
.67,.98,130
.67,.99,10
.67,1,9
.67,,8893
.68,.64,2362
.68,.65,3855
.68,.66,6269
.68,.67,14020
.68,.68,115813
.68,.69,19657
.68,.7,12614
.68,.71,7308
.68,.72,3771
.68,.73,2823
.68,.74,1411
.68,.75,967
.68,.76,600
.68,.77,529
.68,.78,253
.68,.79,265
.68,.8,291
.68,.81,90
.68,.82,87
.68,.83,37
.68,.84,24
.68,.85,61
.68,.86,153
.68,.87,7
.68,.88,13
.68,.89,39
.68,.9,36
.68,.91,5
